BRAND,MODEL,VARIANT,MPG,TRANSMISSION,DOORS,SUBMODEL,MSRP
Audi,S5,Prestige quattro 2dr Coupe AWD (3.0L 6cyl S/C 6M),Highway:26;City:17,MANUAL,2,S5 Coupe,58250
Audi,SQ5,3.0 Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Highway:23;City:16,AUTOMATIC,4,SQ5 SUV,59400
Audi,SQ5,3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Highway:23;City:16,AUTOMATIC,4,SQ5 SUV,51900
Audi,allroad,Premium quattro 4dr Wagon AWD (2.0L 4cyl Turbo 8A),Highway:27;City:20,AUTOMATIC,4,allroad Wagon,40700
Audi,allroad,Premium Plus quattro 4dr Wagon AWD (2.0L 4cyl Turbo 8A),Highway:27;City:20,AUTOMATIC,4,allroad Wagon,43300
Audi,allroad,Prestige quattro 4dr Wagon AWD (2.0L 4cyl Turbo 8A),Highway:27;City:20,AUTOMATIC,4,allroad Wagon,49200
BMW,2 Series,228i 2dr Coupe (2.0L 4cyl Turbo 8A),Highway:36;City:23,AUTOMATIC,2,2 Series Coupe,32100
BMW,2 Series,M235i 2dr Coupe (3.0L 6cyl Turbo 8A),Highway:32;City:22,AUTOMATIC,2,2 Series Coupe,43100
BMW,3 Series,328i SULEV 4dr Sedan (2.0L 4cyl Turbo 8A),Highway:35;City:23,AUTOMATIC,4,3 Series Sedan,37300
BMW,3 Series,328i 4dr Sedan (2.0L 4cyl Turbo 8A),Highway:35;City:23,AUTOMATIC,4,3 Series Sedan,37300
BMW,3 Series,328i xDrive SULEV 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:33;City:22,AUTOMATIC,4,3 Series Sedan,39300
BMW,3 Series,320i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:35;City:23,AUTOMATIC,4,3 Series Sedan,34750
BMW,3 Series,ActiveHybrid 3 4dr Sedan (3.0L 6cyl Turbo gas/electric hybrid 8A),Highway:33;City:25,AUTOMATIC,4,3 Series Hybrid,49900
BMW,3 Series,328i xDrive 4dr Wagon AWD (2.0L 4cyl Turbo 8A),Highway:33;City:22,AUTOMATIC,4,3 Series Wagon,41450
BMW,3 Series,328i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:33;City:22,AUTOMATIC,4,3 Series Sedan,39300
BMW,3 Series,320i 4dr Sedan (2.0L 4cyl Turbo 8A),Highway:36;City:24,AUTOMATIC,4,3 Series Sedan,32750
BMW,3 Series,335i 4dr Sedan (3.0L 6cyl Turbo 8A),Highway:32;City:22,AUTOMATIC,4,3 Series Sedan,43400
BMW,3 Series,335i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),Highway:30;City:20,AUTOMATIC,4,3 Series Sedan,45400
BMW,3 Series Gran Turismo,328i xDrive 4dr Hatchback AWD (2.0L 4cyl Turbo 8A),Highway:33;City:22,AUTOMATIC,4,3 Series Gran Turismo Hatchback,41450
BMW,3 Series Gran Turismo,335i xDrive 4dr Hatchback AWD (3.0L 6cyl Turbo 8A),Highway:30;City:20,AUTOMATIC,4,3 Series Gran Turismo Hatchback,46850
